alert_key,cust_id,risk_rank,occupation_code,total_asset,AGE,date,tx_time,amt,sar_flag
352705,5500,1,17.0,12207.0,2,365,0.0,0.0,0.0
352710,7704,3,19.0,21647.0,4,365,2.0,13094.0,0.0
352715,7415,1,18.0,163630.0,2,365,0.0,2228.0,0.0
352816,7412,1,5.0,7883.0,2,365,3.0,593574.0,0.0
352819,5571,1,12.0,402980.0,6,365,0.0,0.0,0.0
352857,6460,1,19.0,3522151.0,5,365,10.0,164143.0,0.0
352858,120,3,14.0,1441976.0,4,365,49.0,281457.0,0.0
352859,2332,1,14.0,975.0,5,365,14.0,243625.0,0.0
352865,973,3,9.0,2144675.0,4,365,9.0,13115633.81,0.0
352866,6909,1,12.0,309830.0,4,365,0.0,0.0,0.0
352870,4609,1,17.0,228.0,3,365,4.0,396679.0,0.0
352871,5724,3,19.0,2390889.0,4,365,5.0,125678.655,0.0
352872,362,1,4.0,2632963.0,4,365,51.0,3321901.0,0.0
352874,2103,3,17.0,554705.0,3,365,6.0,24076.0,0.0
352876,7326,2,12.0,207586.0,2,365,0.0,0.0,0.0
352877,7073,3,13.0,309683.0,2,365,3.0,954.0,0.0
352880,7649,1,12.0,835448.0,3,365,3.0,60835.025,0.0
352886,2779,1,12.0,904.0,2,365,2.0,104018.0,0.0
352888,2217,3,19.0,1758714.0,2,365,75.0,7967192.0,0.0
353030,3836,1,19.0,205660.0,5,371,0.0,0.0,0.0
353032,3431,3,15.0,201906.0,5,371,7.0,37964031.23,0.0
353033,263,1,18.0,236358.0,5,371,1.0,1338.0,0.0
353041,7637,3,12.0,2422.0,4,371,6.0,356460.8,0.0
353043,4769,1,17.0,173255.0,4,371,4.0,648458.2,0.0
353045,4680,3,15.0,190972.0,4,371,9.0,850509.04,0.0
353047,4063,3,12.0,876408.0,3,371,2.0,2509271.4,0.0
353051,5252,1,17.0,2470345.0,4,371,2.0,22511.0,0.0
353054,1219,1,9.0,5845.0,4,371,0.0,3089.0,0.0
353056,4970,3,15.0,1004090.0,4,371,6.0,1258459.0,0.0
353059,7356,1,19.0,833139.0,2,371,4.0,551884.0,0.0
353065,2699,1,17.0,925636.0,2,371,1.0,283477.0,0.0
353072,5559,1,17.0,20632.0,2,371,4.0,1605551.0,0.0
353074,4336,2,4.0,511225.0,2,371,4.0,34135994.515,0.0
353075,3709,1,18.0,3089.0,2,371,0.0,0.0,0.0
353077,4253,1,12.0,296610.0,3,371,5.0,117510.0,0.0
353080,759,3,12.0,612138.0,2,371,10.0,3538291.704,0.0
353083,2466,1,12.0,106656.0,3,371,5.0,92489687.78,0.0
353084,4478,1,19.0,0.0,2,371,14.0,648121.0,0.0
353166,4288,1,17.0,0.0,2,371,0.0,0.0,0.0
353172,6960,1,17.0,1546.0,7,371,10.0,11570.0,0.0
353178,2589,1,17.0,2323616.0,7,371,11.0,133793.0,0.0
353198,6877,1,12.0,1189285.0,5,371,1.0,124933.0,0.0
353200,2771,1,15.0,247836.0,5,371,1.0,7214.0,0.0
353201,3148,1,12.0,2210827.0,5,371,14.0,750080.665,0.0
353205,2074,1,17.0,575493.0,4,371,0.0,0.0,0.0
353209,120,3,14.0,1441976.0,4,371,43.0,140717.0,0.0
353213,5870,1,14.0,2886933.0,4,371,5.0,9235.0,0.0
353220,1057,3,12.0,918230.0,2,371,4.0,122608.0,0.0
353227,5813,1,18.0,341725.0,3,371,6.0,451320.868,0.0
353229,2103,3,17.0,554705.0,3,371,2.0,10514.0,0.0
353231,1088,1,17.0,565453.0,4,371,1.0,53306.0,0.0
353233,7073,3,13.0,309683.0,2,371,2.0,32877.0,0.0
353234,4131,3,17.0,84272.0,3,371,12.0,68047.0,0.0
353236,3341,1,18.0,15620.0,2,371,0.0,18647.0,0.0
353241,6093,1,17.0,14463.0,2,371,0.0,0.0,0.0
353243,2527,1,19.0,0.0,2,371,0.0,0.0,0.0
353247,2217,3,19.0,1758714.0,2,371,87.0,49281574.0,0.0
353248,6741,1,11.0,1818058.0,2,371,3.0,130056.0,0.0
353359,3210,1,12.0,19099.0,4,371,1.0,5082.0,0.0
353366,480,3,15.0,226357.0,5,371,5.0,97549310.745,0.0
353376,3511,1,18.0,1770992.0,3,371,6.0,185363.19,0.0
353383,3617,1,19.0,359609.0,5,371,2.0,426899.36,0.0
353385,270,2,18.0,1766292.0,4,371,5.0,1366.0,0.0
353386,2483,1,17.0,516.0,2,371,0.0,1477.0,0.0
353388,1883,1,19.0,105.0,3,371,0.0,0.0,0.0
353394,2856,1,18.0,58111.0,3,371,2.0,21837.0,0.0
353396,5848,3,19.0,1415448.0,3,371,27.0,276438.0,0.0
353399,2340,3,12.0,101742.0,2,371,4.0,350798.0,0.0
353403,1470,1,12.0,324044.0,3,371,1.0,0.0,0.0
353404,3574,1,19.0,42186.0,2,371,0.0,0.0,0.0
353405,5880,1,9.0,209434.0,2,371,0.0,0.0,0.0
353407,2529,1,18.0,718481.0,3,371,7.0,1551043.43,0.0
353413,3562,1,3.0,96316.0,3,371,11.0,6866550.0,0.0
353415,7672,1,5.0,1836187.0,2,371,0.0,0.0,0.0
353416,5791,1,19.0,1112.0,4,371,0.0,0.0,0.0
353494,3382,1,19.0,83133.0,3,371,77.0,25687052.0,0.0
353518,6326,1,5.0,6166.0,2,371,0.0,0.0,0.0
353540,4494,3,3.0,262604.0,6,371,2.0,85579.0,0.0
353541,5339,3,12.0,67019.0,5,371,22.0,263178.0,0.0
353545,7480,1,9.0,40161.0,5,371,6.0,737137.0,0.0
353549,2548,3,16.0,110515.0,5,371,4.0,72743.0,0.0
353550,876,1,17.0,1287860.0,5,371,5.0,956198.0,0.0
353556,576,1,15.0,0.0,5,371,16.0,862777.0,0.0
353558,1817,1,17.0,683.0,4,371,4.0,99660.0,0.0
353560,7218,1,18.0,19349365.0,4,371,0.0,0.0,0.0
353561,3744,1,9.0,373218.0,4,371,0.0,5095.0,0.0
353566,1607,1,13.0,150.0,3,371,25.0,745169.0,0.0
353568,3973,1,12.0,906.0,3,371,0.0,0.0,0.0
353569,4668,1,9.0,711035.0,4,371,1.0,4847.0,0.0
353571,3972,2,17.0,184681.0,4,371,5.0,9057165.84,0.0
353578,5997,1,2.0,444392.0,3,371,6.0,721178.295,0.0
353579,5030,1,17.0,403354.0,4,371,1.0,120098.0,0.0
353582,3910,1,17.0,114439.0,2,371,7.0,48777411.55,0.0
353586,5500,1,17.0,12207.0,2,371,1.0,514913.0,0.0
353587,188,1,17.0,259985.0,4,371,1.0,8663.0,0.0
353589,4773,1,19.0,386.0,2,371,2.0,62122.0,0.0
353592,6393,1,19.0,63282.0,2,371,3.0,2298086.91,0.0
353596,7415,1,18.0,163630.0,2,371,1.0,13983.0,0.0
353823,40,3,19.0,390912.0,4,372,431.0,1941004.0,0.0
353825,2393,1,20.0,2042794.0,3,372,13.0,84247.0,0.0
353831,6830,1,19.0,2276481.0,5,372,11.0,2113024.0,0.0
353833,2019,3,12.0,868378.0,4,372,1.0,15138.0,0.0
353835,5670,1,9.0,529947.0,4,372,2.0,3282069.0,0.0
353843,120,3,14.0,1441976.0,4,372,32.0,52784.0,0.0
353847,5870,1,14.0,2886933.0,4,372,4.0,9274.0,0.0
353848,2192,1,17.0,123577.0,5,372,12.0,19448956.165,0.0
353851,973,3,9.0,2144675.0,4,372,1.0,81856.0,0.0
353855,1057,3,12.0,918230.0,2,372,9.0,1351798.415,0.0
353857,5084,1,10.0,5909.0,3,372,0.0,0.0,0.0
353860,2194,1,17.0,264699.0,3,372,11.0,561937.895,0.0
353861,7515,1,17.0,6316.0,3,372,0.0,0.0,0.0
353864,4195,1,19.0,79871.0,3,372,4.0,319345.715,0.0
353865,5813,1,18.0,341725.0,3,372,6.0,216141.68200000003,0.0
353867,3312,1,18.0,159317.0,3,372,1.0,6697591.955,0.0
353868,2103,3,17.0,554705.0,3,372,3.0,3310.0,0.0
353870,1088,1,17.0,565453.0,4,372,0.0,28175.0,0.0
353872,4693,1,17.0,32.0,3,372,25.0,289775.0,0.0
353875,7073,3,13.0,309683.0,2,372,3.0,12755.0,0.0
353878,1733,1,12.0,23454.0,2,372,1.0,875.0,0.0
353879,3341,1,18.0,15620.0,2,372,0.0,9036.0,0.0
353885,2527,1,19.0,0.0,2,372,0.0,0.0,0.0
353888,2779,1,12.0,904.0,2,372,2.0,288555.0,0.0
353890,2217,3,19.0,1758714.0,2,372,65.0,1857628.0,0.0
354007,7008,1,19.0,247918.0,5,372,8.0,1384558.0,0.0
354013,480,3,15.0,226357.0,5,372,10.0,37802942.57,0.0
354014,6935,1,17.0,1310883.0,6,372,9.0,42792606.0,0.0
354015,792,3,9.0,553993.0,6,372,0.0,0.0,0.0
354022,4788,1,9.0,2218347.0,5,372,3.0,1964.0,0.0
354024,3511,3,18.0,1770992.0,3,372,7.0,68946.53,0.0
354027,7657,1,19.0,0.0,6,372,0.0,0.0,0.0
354039,5848,3,19.0,1415448.0,3,372,24.0,440114.495,0.0
354040,5450,1,17.0,168008.0,3,372,3.0,31870.14,0.0
354044,5036,3,1.0,2169802.0,2,372,4.0,427789.83,0.0
354045,2529,1,18.0,718481.0,3,372,6.0,2229322.1799999997,0.0
354047,1420,1,1.0,450.0,2,372,16.0,29275.0,0.0
354048,7040,1,16.0,39739.0,3,372,1.0,102985.0,0.0
354049,3811,3,12.0,2285386.0,3,372,7.0,1561355.86,0.0
354054,3562,1,3.0,96316.0,3,372,12.0,12522907.0,0.0
354061,4376,1,19.0,371514.0,2,372,0.0,0.0,0.0
354143,3382,1,19.0,83133.0,3,372,14.0,2293701.0,0.0
354177,5393,1,2.0,98177.0,2,372,6.0,3381627.1350000002,0.0
354178,6827,1,17.0,412989.0,2,372,3.0,1760.668,0.0
354211,3431,3,15.0,201906.0,5,372,6.0,303775.045,0.0
354212,4696,1,17.0,2946.0,5,372,0.0,0.0,0.0
354218,4207,1,19.0,221324.0,4,372,19.0,2589087.0,0.0
354220,589,1,15.0,21984.0,3,372,4.0,3076.0,0.0
354223,7637,3,12.0,2422.0,4,372,5.0,468408.61,0.0
354226,4769,3,17.0,173255.0,4,372,4.0,1011717.6,0.0
354229,4063,3,12.0,876408.0,3,372,12.0,16216708.7,0.0
354234,5109,1,11.0,1672432.0,5,372,0.0,408.0,0.0
354235,5741,1,4.0,227418.0,2,372,2.0,45994.725,0.0
354238,4937,1,12.0,1335218.0,4,372,2.0,27312.0,0.0
354239,1219,1,9.0,5845.0,4,372,0.0,9169.0,0.0
354245,1588,3,19.0,567379.0,3,372,13.0,1981695.485,0.0
354246,314,3,17.0,394766.0,3,372,9.0,23869694.0,0.0
354254,5559,1,17.0,20632.0,2,372,4.0,1438191.0,0.0
354256,4253,1,12.0,296610.0,3,372,5.0,49241.0,0.0
354258,7685,2,17.0,41066.0,3,372,22.0,189960.642,0.0
354260,3491,1,17.0,506366.0,3,372,10.0,9935729.88,0.0
354261,2466,3,12.0,106656.0,3,372,5.0,116435121.25,0.0
354262,4035,1,15.0,5016106.0,3,372,2.0,534544.4439999999,0.0
354263,1547,1,9.0,367478.0,3,372,4.0,26986339.665,0.0
354401,4204,1,18.0,171726.0,6,372,4.0,384939.0,0.0
354402,1690,1,19.0,0.0,5,372,0.0,0.0,0.0
354407,6948,1,15.0,41105.0,5,372,0.0,0.0,0.0
354413,5934,2,11.0,684030.0,4,372,2.0,145980.0,0.0
354415,6150,1,3.0,0.0,6,372,0.0,324.0,0.0
354417,576,1,15.0,0.0,5,372,4.0,1080848.0,0.0
354421,1102,1,13.0,3516.0,4,372,31.0,3563.0,0.0
354423,458,1,13.0,103.0,6,372,0.0,0.0,0.0
354428,4260,1,9.0,22455.0,3,372,9.0,18070884.06,0.0
354430,3999,3,17.0,461707.0,3,372,8.0,111553.482,0.0
354431,2339,1,10.0,409561.0,4,372,9.0,420468.93000000005,0.0
354432,7288,1,13.0,131985.0,4,372,1.0,1048.0,0.0
354435,504,1,19.0,153711.0,2,372,7.0,3745531.7250000006,0.0
354440,2186,1,11.0,41915.0,3,372,0.0,0.0,0.0
354442,6088,1,17.0,4735.0,3,372,0.0,0.0,0.0
354443,5997,1,2.0,444392.0,3,372,7.0,1843921.6099999999,0.0
354446,3630,3,12.0,73143.0,3,372,3.0,9506.0,0.0
354447,5306,1,15.0,242106.0,4,372,4.0,16816.275,0.0
354448,7209,1,13.0,40907.0,2,372,0.0,0.0,0.0
354449,3910,1,17.0,114439.0,2,372,10.0,3030850.0599999996,0.0
354452,6421,1,12.0,1402359.0,2,372,8.0,219345.0,0.0
354453,3782,3,19.0,29734.0,2,372,5.0,4868038.744999999,0.0
354459,4773,1,19.0,386.0,2,372,2.0,611726.0,0.0
354465,7630,1,17.0,7638.0,3,372,1.0,15013.0,0.0
354468,7415,1,18.0,163630.0,2,372,0.0,0.0,0.0
354470,4596,1,18.0,272935.0,2,372,4.0,4828485.795,0.0
354471,930,3,12.0,503423.0,3,372,7.0,166733.0,0.0
354565,4785,3,3.0,123794.0,4,375,0.0,0.0,0.0
354569,5393,1,2.0,98177.0,2,375,6.0,62101011.78,0.0
354573,3735,2,13.0,16306.0,3,375,2.0,1320.0,0.0
354576,6571,3,18.0,194492.0,7,375,6.0,244453.0,0.0
354595,3431,3,15.0,201906.0,5,375,8.0,923863.475,0.0
354596,263,1,18.0,236358.0,5,375,6.0,1477437.0,0.0
354603,4207,1,19.0,221324.0,4,375,8.0,916132.0,0.0
354604,7489,3,19.0,33760.0,3,375,5.0,99409.495,0.0
354606,3028,3,18.0,8025.0,4,375,5.0,15384794.079999998,0.0
354607,2739,1,17.0,190052.0,3,375,1.0,2.0,0.0
354609,1166,2,19.0,0.0,5,375,0.0,6321.0,0.0
354612,7637,3,12.0,2422.0,4,375,5.0,683190.43,0.0
354613,4769,3,17.0,173255.0,4,375,4.0,2489420.09,0.0
354616,710,1,11.0,1310321.0,4,375,2.0,50065.0,0.0
354618,5956,3,19.0,417504.0,4,375,5.0,1397221.215,0.0
354619,4063,3,12.0,876408.0,3,375,15.0,30087719.125,0.0
354622,1613,1,12.0,552065.0,3,375,1.0,1222127.0,0.0
354625,1179,3,19.0,536992.0,5,375,10.0,13924.0,0.0
354628,4739,1,9.0,902254.0,4,375,0.0,0.0,0.0
354629,5741,1,4.0,227418.0,2,375,3.0,49748.759999999995,0.0
354630,4175,1,12.0,4685.0,4,375,0.0,0.0,0.0
354633,1219,1,9.0,5845.0,4,375,0.0,10411.0,0.0
354642,1588,3,19.0,567379.0,3,375,5.0,2966106.685,0.0
354643,5540,1,9.0,175.0,3,375,0.0,0.0,0.0
354652,5559,1,17.0,20632.0,2,375,4.0,925545.0,0.0
354658,4253,1,12.0,296610.0,3,375,8.0,341442.0,0.0
354661,4572,1,4.0,2514834.0,4,375,7.0,1979918.0,0.0
354662,7685,2,17.0,41066.0,3,375,13.0,65242.396,0.0
354663,5489,1,5.0,715.0,3,375,0.0,78242.0,0.0
354667,3491,1,18.0,506366.0,3,375,10.0,9404450.26,0.0
354668,2466,3,12.0,106656.0,3,375,6.0,90466356.70500001,0.0
354669,4035,1,15.0,5016106.0,3,375,3.0,848569.1259999999,0.0
354670,1547,1,9.0,367478.0,3,375,6.0,29913556.135,0.0
354672,7139,2,17.0,92710.0,2,375,23.0,14365216.47,0.0
354673,5620,1,19.0,149313.0,2,375,4.0,1516.21,0.0
354675,1067,3,9.0,24016.0,3,375,19.0,570319.21,0.0
354679,3367,1,20.0,95194.0,3,375,1.0,1365.0,0.0
354756,1155,1,18.0,948.0,2,375,0.0,0.0,0.0
354759,6338,1,19.0,2046527.0,9,375,12.0,77116.0,0.0
354778,40,3,19.0,390912.0,4,375,351.0,1234876.0,0.0
354780,3501,1,13.0,206520.0,5,375,2.0,2280.0,0.0
354788,2019,3,12.0,868378.0,4,375,1.0,4750.0,0.0
354790,2771,3,15.0,247836.0,5,375,9.0,627115.0,0.0
354792,4902,1,19.0,378823.0,6,375,3.0,18529.0,0.0
354795,6257,1,11.0,883849.0,5,375,1.0,30870.0,0.0
354796,2074,1,17.0,575493.0,4,375,0.0,0.0,0.0
354798,4400,1,19.0,145998.0,4,375,4.0,549392.0,0.0
354799,120,3,14.0,1441976.0,4,375,44.0,261183.0,0.0
354801,992,1,17.0,115027.0,3,375,7.0,6337543.924,0.0
354804,5870,1,14.0,2886933.0,4,375,5.0,33611.0,0.0
354807,2203,1,19.0,136798.0,4,375,1.0,41781.0,0.0
354810,4270,1,13.0,3089582.0,2,375,3.0,35135.0,0.0
354813,1057,3,12.0,918230.0,2,375,9.0,609356.0,0.0
354814,3699,1,12.0,331966.0,2,375,12.0,66680787.01,0.0
354817,2219,1,13.0,2689.0,2,375,1.0,409096.0,0.0
354818,3539,1,1.0,1826528.0,2,375,0.0,0.0,0.0
354819,5724,3,19.0,2390889.0,4,375,5.0,40734.752,0.0
354820,3461,1,18.0,935117.0,3,375,15.0,129693.0,0.0
354821,7515,1,17.0,6316.0,3,375,0.0,0.0,0.0
354824,4195,1,19.0,79871.0,3,375,5.0,559130.965,0.0
354826,5813,1,18.0,341725.0,3,375,6.0,2970519.026,0.0
354828,3312,1,18.0,159317.0,3,375,0.0,0.0,0.0
354831,1088,1,17.0,565453.0,4,375,0.0,44588.0,0.0
354834,7073,3,13.0,309683.0,2,375,3.0,9547.0,0.0
354836,4131,3,17.0,84272.0,3,375,11.0,42807.0,0.0
354837,5140,3,18.0,2388979.0,2,375,1.0,46580.0,0.0
354842,3341,1,18.0,15620.0,2,375,0.0,0.0,0.0
354847,6255,1,15.0,622107.0,3,375,0.0,0.0,0.0
354850,2527,1,19.0,0.0,2,375,0.0,0.0,0.0
354853,2779,1,12.0,904.0,2,375,0.0,117185.0,0.0
354854,2541,1,4.0,2338.0,2,375,2.0,3290.0,0.0
354855,2217,3,19.0,1758714.0,2,375,89.0,48043377.0,0.0
354911,541,0,17.0,0.0,6,375,0.0,0.0,0.0
354928,480,3,15.0,226357.0,5,375,5.0,33107363.055,0.0
354930,2221,1,12.0,2531816.0,6,375,6.0,132961.97999999998,0.0
354935,6360,3,19.0,1889815.0,4,375,3.0,453766.0,0.0
354938,3260,1,17.0,1395515.0,5,375,6.0,43038.8206,0.0
354939,3549,3,3.0,80111.0,4,375,5.0,41855646.33,0.0
354942,4788,1,9.0,2218347.0,5,375,0.0,0.0,0.0
354943,250,1,12.0,1103711.0,4,375,0.0,0.0,0.0
354944,3511,3,18.0,1770992.0,3,375,6.0,69824.535,0.0
354947,7657,1,19.0,0.0,6,375,1.0,71634.0,0.0
354950,1361,1,19.0,908527.0,3,375,2.0,10399.0,0.0
354951,7138,3,15.0,1049.0,3,375,5.0,29058966.93,0.0
354958,5848,3,19.0,1415448.0,3,375,13.0,130007.705,0.0
354959,5450,1,17.0,168008.0,3,375,3.0,15115951.936,0.0
354962,1180,1,12.0,29333.0,2,375,5.0,203403.0,0.0
354966,5036,3,1.0,2169802.0,2,375,8.0,390679.77999999997,0.0
354967,5466,3,14.0,80174.0,4,375,8.0,1530972.96,0.0
354968,2529,1,18.0,718481.0,3,375,10.0,13738798.29,0.0
354970,2489,3,3.0,151434.0,4,375,2.0,252900.0,0.0
354971,2682,1,10.0,2550303.0,3,375,1.0,450379.0,0.0
354973,3562,1,3.0,96316.0,3,375,14.0,16708430.0,0.0
354978,7672,1,5.0,1836187.0,2,375,1.0,1043.0,0.0
355090,3382,1,19.0,83133.0,3,375,44.0,21014983.0,0.0
355091,1635,1,19.0,1548534.0,4,375,3.0,3815.0,0.0
355123,189,3,18.0,1741477.0,6,375,1.0,2039.0,0.0
355134,6077,3,18.0,1107663.0,6,375,0.0,0.0,0.0
355146,4494,3,3.0,262604.0,6,375,2.0,127038.0,0.0
355147,5339,3,12.0,67019.0,5,375,13.0,653024.0,0.0
355150,4204,1,18.0,171726.0,6,375,0.0,171599.0,0.0
355152,6938,3,19.0,1457386.0,5,375,11.0,12495590.125,0.0
355155,1463,1,19.0,3252.0,4,375,2.0,456730.0,0.0
355156,2692,1,12.0,1562632.0,5,375,1.0,5741.0,0.0
355166,576,1,15.0,0.0,5,375,7.0,203533.0,0.0
355168,5522,3,9.0,5276533.0,5,375,4.0,44523.0,0.0
355171,2998,1,11.0,3311.0,5,375,0.0,0.0,0.0
355178,3999,3,17.0,461707.0,3,375,7.0,43808.92,0.0
355179,4617,1,19.0,0.0,2,375,0.0,0.0,0.0
355181,2339,1,10.0,409561.0,4,375,7.0,123828.92000000001,0.0
355182,7688,1,18.0,824.0,3,375,0.0,1425.0,0.0
355183,4203,1,19.0,728414.0,4,375,3.0,250676.0,0.0
355188,2749,3,12.0,848586.0,2,375,9.0,4305816.034999999,0.0
355193,5997,1,2.0,444392.0,3,375,6.0,1846398.915,0.0
355196,5306,1,15.0,242106.0,4,375,5.0,55539.56,0.0
355197,498,3,12.0,1940568.0,4,375,11.0,543315.0,0.0
355198,3910,1,17.0,114439.0,2,375,7.0,1806617.5899999999,0.0
355201,6421,1,12.0,1402359.0,2,375,5.0,606506.0,0.0
355202,5500,1,17.0,12207.0,2,375,0.0,39891.0,0.0
355203,3782,3,19.0,29734.0,2,375,6.0,1611525.0299999998,0.0
355204,188,1,17.0,259985.0,4,375,1.0,5229.0,0.0
355212,7704,3,19.0,21647.0,4,375,8.0,43576.0,0.0
355215,7630,1,17.0,7638.0,3,375,0.0,0.0,0.0
355216,2513,3,19.0,1020811.0,2,375,12.0,36916826.325,0.0
355221,6179,3,13.0,310119.0,3,375,6.0,8786292.02,0.0
355222,4596,1,18.0,272935.0,2,375,5.0,6434395.635000001,0.0
355347,5393,1,2.0,98177.0,2,376,6.0,46560760.54,0.0
355361,3836,1,19.0,205660.0,5,376,0.0,0.0,0.0
355362,3431,3,15.0,201906.0,5,376,6.0,1013858.59,0.0
355364,263,1,18.0,236358.0,5,376,0.0,0.0,0.0
355373,7637,3,12.0,2422.0,4,376,7.0,560518.565,0.0
355375,2243,1,19.0,221112.0,5,376,3.0,215930.0,0.0
355376,4769,3,17.0,173255.0,4,376,5.0,639086.08,0.0
355378,4680,3,15.0,190972.0,4,376,4.0,4805300.039999999,0.0
355379,5956,3,19.0,417504.0,4,376,9.0,3741361.335,0.0
355380,4063,3,12.0,876408.0,3,376,7.0,582712.6399999999,0.0
355382,4616,1,19.0,2059932.0,4,376,3.0,54.0,0.0
355384,1297,1,18.0,14072.0,4,376,3.0,159514.0,0.0
355386,1179,3,19.0,536992.0,5,376,10.0,14546.0,0.0
355388,4739,1,9.0,902254.0,4,376,1.0,327543.0,0.0
355389,5741,1,4.0,227418.0,2,376,2.0,30113.095,0.0
355392,1219,1,9.0,5845.0,4,376,0.0,8772.0,0.0
355395,3753,1,9.0,332834.0,2,376,3.0,548692.0,0.0
355397,5075,1,18.0,2318447.0,3,376,11.0,292926.8916,0.0
355402,1588,3,19.0,567379.0,3,376,12.0,4026964.8149999995,0.0
355403,6065,1,15.0,246664.0,3,376,10.0,53831026.120000005,0.0
355404,1760,1,17.0,2834.0,3,376,0.0,0.0,0.0
355411,5544,1,13.0,161751.0,2,376,1.0,888466.275,0.0
355413,5559,1,17.0,20632.0,2,376,4.0,235614.0,0.0
355417,2143,1,19.0,244739.0,5,376,5.0,3545693.8300000005,0.0
355418,5111,1,18.0,0.0,3,376,3.0,452.0,0.0
355420,4253,1,12.0,296610.0,3,376,6.0,2511.0,0.0
355424,5489,1,5.0,715.0,3,376,0.0,34937.0,0.0
355426,3936,1,17.0,392353.0,3,376,2.0,392817.0,0.0
355428,3491,1,18.0,506366.0,3,376,9.0,2139046.3649999998,0.0
